2825, 1025, 5
3750, 935, 1
3190, 690, 2
2800, 410, 1
4025, 710, 0
4025, 810, 0
4025, 915, 1
4125, 475, 1
3875, 625, 1
3685, 940, 4
3625, 625, 2
3685, 940, 4
3625, 625, 2
3375, 935, 2
3685, 940, 4
3875, 625, 2
3375, 935, 2
3685, 940, 4
3875, 625, 2
3685, 935, 4
3640, 630, 1
3630, 940, 3
4070, 1080, 3
4400, 1080, 45
3630, 1000, 4
3640, 630, 1
3375, 935, 3
4070, 1080, 3
4400, 1080, 45
3630, 1000, 4
3875, 625, 1
3375, 935, 3
4070, 1080, 3
4400, 1080, 45
3630, 1000, 4
3325, 640, 3
3860, 900, 3
4440, 400, 3
4450, 400, 3
2825, 1025, 3
