2000, 900, 7
3080, 750, 3
2400, 610, 4
1990, 220, 3
3325, 540, 2
3325, 650, 2
3325, 755, 3
3440, 280, 3
3170, 460, 3
2930, 790, 6
2875, 440, 4
2930, 790, 6
2900, 430, 4
2580, 800, 4
2920, 790, 6
3160, 440, 4
2580, 800, 4
2930, 790, 6
3170, 470, 4
2930, 800, 6
2900, 460, 3
2880, 800, 5
3385, 970, 5
3725, 960, 0
2880, 860, 6
2875, 430, 3
2570, 800, 5
3380, 940, 5
3720, 960, 0
2875, 860, 6
3165, 450, 3
2580, 800, 5
3390, 940, 5
3720, 960, 0
2875, 860, 6
2550, 470, 5
3145, 760, 5
3775, 195, 5
3785, 195, 5
2000, 900, 5
